,Factual,PPLM,Polyjuice,RELITC,Mask,Label,Target
120,"I mean certain parts of South Carolina have developed pretty strongly but the part where I come from—mostly agricultural, it has a little bit of manufacturing—has a very high unemployment rate, a high foreclosure rate, and people are having a hard time there.","I mean certain parts of south carolina have developed pretty strongly but the part where i come from—mostly agricultural, it has a lot of farming, but not as much industrial. and then the part of the country i grew up in, there were","I mean certain parts of south carolina have developed pretty successfully, but the part where i come from - mostly agricultural, it has a small part in north carolina.",,False,0,2
121,wholesale prices edged up in March relative to their level of a year earlier and posted the first increase on a twelve-month basis since July 2000.,"Wholesale prices edged up in march relative to their level of a year ago (from rs. 865 crore to rs. 905 crore). in the first quarter, the wholesale price of a","Wholesale prices edged up in march relative to their level in july 2017, and posted the first increase on a twelve-month basis since july 2000.",,False,1,2
122,We continue to discuss whether or not the unemployment rate itself is an adequate measure of how much underutilization of labor resources there really is.,"We continue to discuss whether or not the unemployment rate itself is a significant predictor of the likelihood of becoming unemployed or not, and whether the unemployment rate is actually an important determinant of whether",We continue to discuss whether or not the unemployment rate is an appropriate measure of how much over-fishing is happening.,We continue to discuss whether or not the unemployment rate itself is an adequate measure of how much underutility of labor resources there really is.,True,2,0
123,"Models of the term structure of interest rates better fit the data under the assumption that both inflation expectations and beliefs about the central bank's reaction function are evolving (Kozicki and Tinsley, 2001; Rudebusch and Wu, 2003; Cogley, 2005).","Models of the term structure of interest rates better fit the data under the assumption that both inflation expectations and nominal interest rates are fixed. in practice, these assumptions are not always true; some countries may experience a decline or a","Models of the term structure of interest rates better fit the data under the assumption that both inflation expectations and beliefs about the central bank's long-term function are evolving (kozicki and tinsley, 2001; rudebusch and wu, 2003; cogley, 2005).","Models of the term structure of interest rates better reflect the dynamics under the assumption that both inflation expectations and beliefs about the central bank's reaction function are evolving ( kozicki and tinsley, 2001 ; rudebusch and wu, 2003 ; cogley, 2005 ).",True,2,0
124,"Staff Review of the Financial Situation The decision by the FOMC to keep the target range for the federal funds rate unchanged at the December meeting and its retention of the ""extended period"" language in the statement were widely anticipated by market participants and elicited little price response.","Staff review of the financial situation the decision by the fomc to keep the target range for the federal funds rate unchanged at the $4.75 to $4.85 target range, and thereby raise the federal funds target, was a decision that was","Staff review of the financial situation the decision by the fomc to keep the target range at its retention of the ""extended period"" language in the statement were widely anticipated by market participants and elicited little price response.",,False,2,1
125,"Committee Policy Action In their discussion of monetary policy for the period ahead, Committee members agreed that the stance of monetary policy should not be changed at this meeting.","Committee policy action in their discussion of monetary policy for the period ahead, committee members noted the importance of continuing efforts to strengthen the u.s. dollar and to maintain the momentum that the fed's policy","The club's executive board members are appointed by the president, and the vice president and chief legal counsel are nominated by the president.","Committee policy action in their discussion of monetary policy for the period ahead, committee members agreed that the stance of monetary policy should not be changed at this meeting.",True,2,0
126,"November 01, 2006 Community Development Financial Institutions: Promoting Economic Growth and Opportunity Chairman Ben S. Bernanke At the Opportunity Finance Networkâ€™s Annual Conference, Washington, D.C. Share Good afternoon and thank you for inviting me to speak to your annual conference.","November 01, 2006 community development financial institutions: promoting economic growth and opportunity chairman ben s. bernanke at the opportunity finance conference (nov. 01) in atlanta, ga.

the american community survey shows that, of those adults living in","At the annual conference of the southeastern conference, the board of directors is led by john w. hulbert and thank you for inviting me to speak to your annual conference.",,False,2,1
127,"In Japan, consumer prices were about unchanged,","In japan, consumer prices were about unchanged, while prices of imported goods were about 7.8 percent higher than in the us, according to the japanese statistics agency statistics japan","In japan, consumer prices were charged unchanged,",,False,2,1
128,"Even so, the growth of investment spending over this period noticeably outpaced the rise in retained earnings, and thus these corporations turned to the capital markets to fill the widening gap.","Even so, the growth of investment spending over this period noticeably outpaced the rise in gdp. the growth rate of investment spending was 1.6% in 2010 compared with 4.4% in 2008.
","So, the growth of the investment is growing, while the cost of production is declining, and thus the cost of production is likely to grow.",,False,1,2
129,Significant cost cutting by firms was thought to have led to a sizable increase in productivity growth in the first half of the year,Significant cost cutting by firms was thought to have led to a fall in the number of deaths caused by road traffic accidents. the figures for 2005 to 2012 show that road accidents involving a cyclist,The significant cost-cutting measures recommended by the governments of germany and the united kingdom were withdrawn from the agenda in the first half of the year,,False,0,2
130,The Federal Reserve is fully committed to both sides of its mandate—to price stability as well as to maximum employment—and it has both the tools and the will to act at the appropriate time to avoid any emerging threat to price stability.,"The federal reserve is fully committed to both sides of its mandate—to price stability as well as to maximum employment—and it's clear that there are limits to how much the fed can achieve without the other side.

on the one hand,","The federal reserve is financed jointly by the government of india, the government of tripura and ubi.",,False,1,2
131,"""4 Importantly, the level of uncertainty around the paths for inflation and employment are higher than normal as we navigate the unprecedented reopening of the world economy.","""4 importantly, the level of uncertainty around the paths for inflation and employment growth over the next few years is unprecedented,"" he said. ""this means that the economy is now more vulnerable to a slowdown","Unfortunately, the level of authenticity about the paths for inflation and employment are low as we navigate the unprecedented reopening of the world economy.",""" more importantly, the level of uncertainty around the paths for inflation and employment are higher than normal as we navigate the unprecedented reopening of the world economy.",True,2,0
132,"At the same time, business firms generally were not raising their prices sufficiently to compensate for faster increases in their labor costs, to the extent that the latter were occurring, evidently because of the persistence of intense competition in most markets.","At the same time, business firms generally were not raising their prices sufficiently to compensate for faster increases in their productivity. as a result, workers began working for shorter hours. by the 1930s, many workers were earning $1 a","At the same time, business firms generally were not raising their prices sufficiently to compensate for faster increases in their labor costs, to the extent that the latter demand was occurring, evidently because of the persistence of intense competition in most markets.",,False,1,2
133,The outbreak has also disrupted economic activity in many countries and has prompted significant movements in financial markets.,"The outbreak has also disrupted economic activity in many countries.

in the united states, where the outbreak started, the number of people without health insurance has jumped by over 30","The outbreak has also killed 105, 000 people and injured another 726 people.",The outbreak has also disrupted economic activity in many countries and has prompted significant movements in financial markets.,True,2,0
134,"As a policymaker, I'd like to think that well-executed monetary and fiscal policies--each focused importantly on their respective long-run goals--played some role in creating economic conditions that fostered noninflationary economic growth.","As a policymaker, i'd like to think that well-executed monetary and fiscal policies--each focused importantly on one specific target--will make for better growth. but if you're trying to make economic policy, you also need to","As a policymaker, i'd like to think that well-executed monetary and fiscal policies--each focused importantly on their respective long-run goals--played some role in creating economic growth that fostered noninflationary economic growth.","As a policymaker, i'd like to think that well - executed monetary and fiscal policies - - each focused importantly on their own long - run goals - - played a role in creating economic stimulus that fostered noninflationary economic growth.",True,2,1
135,They would account for the effects of higher energy prices on the real disposable income and spending demands of the household sector.,"They would account for the effects of higher energy prices on household expenditures, but not the effects of inflation on wages and salaries. in other words, they would not explain the wage stagnation",They would account for the effects of higher energy prices on the real disposable income and the spending demands of the household sector.,,False,1,2
136,"If a range is selected, questions will arise about the differing implications of movements of inflation inside the range and outside the range and, in the absence of explicitly identifying the mid-point as the target, about where within the range policymakers would prefer inflation to gravitate.","If a range is selected, questions will arise about the differing implications of movements of inflation inside the range and outside the range.

inflation within a range of 2.5% will have a positive effect on the price level, while inflation","If a range is selected, questions will arise about the differing implications of movements of inflation inside the range and outside the range and, in the absence of explicitly identifying the mid-point as the target, about where within the range policymakers would find inflation to gravitate.","If the target is exceeded, questions will arise about the differing implications of measures of inflation inside the range and outside the range and, in the absence of explicitly identifying the mid - point of the target, about where in that range policymakers would prefer inflation rates to be exceeded.",True,2,1
137,"I would note, by the way, that at the current moment, it doesn’t really matter whether we have one mandate or two, because we’re below our inflation target and we—unemployment is above where we’d like it to be.","I would note, by the way, that at the current moment, it doesn’t really matter whether we have one or four, but it would certainly be helpful if one were provided.

the answer is, we do, but only","I would note, by the way, that at the current moment it doesn't really matter whether we have one or two films that are as good, or better, than this one.",,False,0,2
138,"By the way, we’re also not at maximum employment, as I mentioned.","By the way, we’re also not at maximum employment, as we should be, but there‖s no sign yet.

that would mean we‖re not at a","But the way, we 're not at any risk, as i mentioned.",,False,0,2
139,"Earlier in the year, as you will all recall, after careful study over a period of years, actually, the Committee announced the decision to implement monetary policy in an ample-reserves regime.","Earlier in the year, as you will all recall, after careful study over a period of several months, my friends and i decided that it was time to do some serious research about how our bodies and minds work","Empty in the year, as you will all recall, after careful study over a period of years, actually, the committee announced the decision to implement monetary policy in an sensible way.",,False,0,2
140,"Because equity valuations may pose asymmetric risks to the economic forecast, the implied optimal responses of policy to changes in asset prices may be nonlinear.","Because equity valuations may pose asymmetric risks to the economic forecast, the authors of this paper examine whether equity valuations have a negative effect on the economic forecast of countries that use a fiscal expansion strategy","Because equity valuations may pose unpredictable risks to the economic forecast, the implied optimal responses of policy to changes in asset prices may be nonlinear.","Because equity valuations may pose asymmetric risks to the economic forecast, the implied optimal responses of households to changes in asset prices may be nonlinear.",True,2,0
141,"The Committee's assessments will take into account a wide range of information, including readings on public health, labor market conditions, inflation pressures and inflation expectations, and financial and international developments. ""","The committee's assessments will take into account a wide range of information, including readings on the effectiveness of the current policies, the impact of proposed regulations and the potential impacts of future changes. they may also take into","The committee's assessments will take into account a wide range of information, including relevant information on the policy and financial instruments, as well as on the political, social, environmental and economic components. """,,False,2,1
142,"A considerable literature suggests that successful monetary policies should stabilize, or ""anchor,"" inflation expectations so as to prevent them from becoming a source of instability in their own right (Goodfriend, 1993; Evans and Honkapohja, 2003).","A considerable literature suggests that successful monetary policies should stabilize, or ""anchor,"" inflation expectations so as to reduce the risks of a rise in unemployment or price volatility. such policy interventions, however, may be more expensive than expected,","A considerable literature suggests that successful monetary policies should stabilize, or ""anchor,"" inflation expectations so as to prevent them from becoming a source of instability in their own own countries (goodfriend, 1993; evans and honkapohja, 2003).",,False,1,2
143,The staff viewed the extent of uncertainty around its June projections for real GDP growth and the unemployment rate as roughly in line with the average over the past 20 years.,"The staff viewed the extent of uncertainty around its june projections for real gdp growth. (photo: getty)

a strong economic recovery is likely, but the federal government needs to keep its fiscal plan",The staff viewed the extent of uncertainty around its projected projections for real gdp growth and the unemployment rate as roughly in line with the average over the past 20 years.,The committee noted the extent of uncertainty around its june projections for real gdp growth and the unemployment rate as roughly in line with the average over the past 20 years.,True,2,0
144,"Monthly increases in nonfarm payroll employment averaged nearly 180, 000 over the three months ending in November, in line with the average pace of job creation over the past year.","Monthly increases in nonfarm payroll employment averaged nearly 180, 000 over the three months ending in december, and the labor force participation rate was above 62 percent for the first time since 2009.


while the labor","Monthly increases in nonfarm payroll employment averaged nearly 180, 000 over the three months ending in november, in line with average pace of job creation over the past year.","Recent increases in nonfarm payrolls averaged nearly 180, 000 over the three months ending in november, in line with the average pace of job creation over the past year.",True,2,1
145,"Putting It All Together I would now like to step back and consider the relative contributions to the trade deficit of each of the explanations I have discussed, as shown in figure 6.7 To the extent that the contributions of these shocks are reasonably well measured by the macroeconomic model simulations, the most important message I draw from them is that no single factor constitutes a dominant explanation of the deterioration in the U.S. current account balance.","Putting it all together i would now like to step back and consider the relative contributions to the trade deficit of each of the explanations i have discussed, as shown in figure 6.7 to the extent that the trade deficit can be attributed to changes in output from imports, then i think all three explanations are likely correct. however, there","After all, the global stiffness matrix is constructed by adding together the individual expanded element matrices.",,False,1,2
146,"In agriculture, depressed levels of crop prices and weak global demand continued to weaken farm income.","In agriculture, depressed levels of crop prices and weak global demand have made food prices more volatile than they have been for decades. this has pushed some countries, such as india, to","In the agricultural sector, the highest teenage birth rate was in rural areas, and the lowest in urban areas.",,False,0,2
147,The strongest case for a link between monetary policy and changes in inflation dynamics is in the greater stability of inflation.,"The strongest case for a link between monetary policy and economic growth comes from the united states. a strong dollar, low unemployment, low debt and high productivity all contribute to stronger demand",The strongest point for a link between monetary policy and changes in inflation dynamics is in the greater stability of inflation.,The strongest argument for a link between monetary policy and changes in inflation dynamics is in the greater stability of inflation.,True,2,0
148,"Indeed, virtually every forecast projects a modest rise in broad measures of U.S. inflation this year, reflecting the dissipation or reversal of favorable supply shocks, most importantly the reversal in the path of oil prices, the stabilization of commodity prices and non-oil import prices, and some rebound in health care costs.","Indeed, virtually every forecast projects a modest rise in broad measures of u.s. inflation this year, reflecting the dissipation or reversal of favorable supply shocks, a strengthening economy, and a strengthening labor market for consumers.

the broadest measure of inflation, which includes food and","Indeed, virtually every forecast projects a modest rise in broad measures of u.s. inflation this year, reflecting the dissipation or deterioration of favorable supply shocks, most importantly the reversal in the path of oil prices, the stabilization of commodity prices and non-oil import prices, and some rebound in health care costs.",,False,1,2
149,"An understanding of a likely long-run level of the equilibrium real rate is useful, even though the level is not directly observable, because it provides a general sense of the level that would, over that longer period, allow aggregate supply and demand to move into balance, given the evaluation of secular forces such as productivity and population growth.","An understanding of a likely long-run level of the equilibrium real rate is useful, even though the level is not directly observable, because it provides a general sense of the level that is likely to be reached at any time, and can help to predict future changes. this level, termed the","An understanding of a likely long-run level of the equilibrium real rate is useful, even though the level is not directly observable, because it provides not a general sense of the level that would, over that longer period, allow aggregate supply and demand to move into balance, given the evaluation of secular forces such as productivity and population growth.","This understanding of a likely long - run rise of the federal real rate is useful, even though the level is not directly observable, because it provides a general model of the level that would, over that longer period, allow aggregate supply and demand to move into balance, given the evaluation of secular forces such as inflation and population growth.",True,2,1
150,Business contacts in a few Districts reported that they had begun to have some more ability to raise prices to cover higher input costs.,"Business contacts in a few districts reported that they had begun to notice a slight drop-off in new business, while those in the others were expecting no change at all.

the","A few years later it failed again, but soon opened again.",,False,1,2
151,"A few participants judged that while the labor market was close to full employment, some margins of slack remained; these participants pointed to the employment-to-population ratio or the labor force participation rate for prime-age workers, which remained below pre-recession levels, as well as the absence to date of clear signs of a pickup in aggregate wage growth.","A few participants judged that while the labor market was close to full employment, some margins of slack remained; these participants pointed to the employment-to-population ratio or the ""firms per worker ratio""—which measures the percentage of workers employed by each firm—as indicators of job creation.
","A few weeks later, in an interview with humansvszombies. org, fixell defended his position.","A few participants judged that while the labor market was close to full employment, some margins of slack remained ; these participants pointed to the employment - to - population ratio or the labor force participation rate for prime - age workers, which remained below pre - recession levels, as well as the absence to date of clear signs of a pickup in aggregate wage growth.",True,2,0
152,"However, in the past two decades, what constitutes money has been obscured by the introduction of technologies that have facilitated the proliferation of financial products and have altered the empirical relationship between economic activity and what we define as money, and in doing so has inhibited the keying of monetary policy to the control of the measured money stock.1 Another example of ongoing structural change relates to innovations in mortgage finance.","However, in the past two decades, what constitutes money has been obscured by the introduction of technologies that have facilitated the proliferation of financial products and have altered the empirical relationship between economic activity and wealth formation. these include financial innovations that are increasingly sophisticated, such as the spread of credit-related technologies such as credit-","Empty, in the past two decades, what constitutes money has been defined by the introduction of technologies that have facilitated the settlement process of settlement process and have empty the empirical relationship between reduced and what we define as money, and in doing so has reduced the empty of monetary policy to the control of the empty.","So, in the past two decades, what constitutes stability has been obscured by the combination of developments that have facilitated the proliferation of flexible pricing and have reinforced the empirical link between price stability and what we see as stability, and in doing so has inhibited the loosening of monetary policy to the control of the measured balance sheet. 1 another example of ongoing structural change relates to innovations in mortgage finance.",True,2,1
153,"At the same time, recent research on the science of monetary policy (as well as the analysis of several historical episodes) has underscored the pitfalls that can result from maintaining a zero or negative inflation rate over time.","At the same time, recent research on the science of monetary policy (as well as the analysis of several recent economic crises, as well as the development of new tools to do so) provides evidence that central banks do not have to","As a result, recent research on the effects of hiv on human pregnancy also has limited its success.",,False,0,2
154,"Given the substantial uncertainty still attached to projections of money growth consistent with the Committee's basic objectives for monetary policy, the members agreed that there was no firm basis for changing the tentative ranges set in July 1996.","Given the substantial uncertainty still attached to projections of money growth consistent with the committee's basic objectives for monetary policy (i.e., keeping inflation under 2% and/or the federal funds rate near zero), a decision to continue","Given the substantial uncertainty still attached to projections of money growth consistent with the committee's basic objectives for monetary policy, the members agreed that there was no firm basis for changing the tentative ranges set in july of 1996.","Despite the substantial uncertainty still attached to projections of money yields consistent with the committee's basic objectives for monetary policy, the committee agreed to provide virtually no monetary stimulus for tightening the targets already set in july 2004.",True,2,1
155,This supports the view that there has been an increase in trend productivity growth.,"This supports the view that there has been an increase in the use of social media in the past few years, but does not indicate whether this has resulted in any increased risk of",This does not support the view that there has been no increase in the number of car accidents.,,False,0,2
156,The reserve conditions contemplated at this meeting were expected to be consistent with some moderation in the growth of M2 and M3 over coming months.,"The reserve conditions contemplated at this meeting were expected to be consistent with the principles set forth in the agreement between the city and the state of colorado. however, the city may not take any",The reserve conditions contemplated at this meeting were expected to be consistent with some moderation in the growth of the m2 and m3 over coming months.,The reserve prices raised at this meeting were expected to be consistent with some strong trends in the growth of m2 and m3 over coming months.,True,2,1
157,"in contrast, however, overall business investment in equipment and software was projected to strengthen in response to the upward trend in replacement demand, especially for computers and software","In contrast, however, overall business investment in equipment and software was projected to strengthen at 2.9 percent year-over-year.

the sector also reported a modest increase of 0.4 percent",,"In july, however, overall business investment in equipment and software was projected to strengthen in response to the upward trend in replacement demand, especially for computers and software",False,2,0
158,"Not surprisingly, the projected path of above-trend GDP growth in 2021 and 2022 translates into rapid declines in the projected path for the unemployment rate, which is projected to fall to 3.8 percent by the end of 2022 and 3.5 percent by the end of 2023.","Not surprisingly, the projected path of above-trend gdp growth in 2021 and 2022 translates into rapid declines in the projected path for the growth rate in 2015.

for instance, for the projected path of growth in 2018 through 2019, the projected path of",Clearly the president recognized the bankers.,,False,1,2
159,"In this regard the risks of rising inflation could not be dismissed, and","In this regard the risks of rising inflation could not be greater for india. if inflation increases at an upwardly moving rate, india would need to increase its current account deficit to","In this respect, the risks are not the same as the potential benefits, and the benefits are only partial.",,False,1,2
160,This was a somewhat sharper effect than was anticipated at the beginning of the year and accounts for a small part of the forecast error on inflation.,"This was a somewhat sharper effect than was anticipated at the beginning of the season, but the result is clear: in terms of the overall number of games that were watched, the season ended up","This was a much sharper effect than was anticipated at the beginning of the year, but nothing much was done for the subsequent years.",This was a significantly sharper effect than was anticipated at the beginning of the year and accounts for a small part of the forecast error on inflation.,True,2,1
161,"moreover, slow growth left the recovery more vulnerable to negative shocks.","Moreover, slow growth left the recovery more vulnerable to negative shocks to economic growth.

""we think that the negative shocks that will occur from the slowdown of growth are going to","Moreover, the slow growth left the recovery more vulnerable to negative shocks.",,False,0,2
162,One involves the so-called zero bound on nominal interest rates; the other involves labor markets.,One involves the so-called zero bound on nominal interest rates; other involves the zero bound on nominal interest rates as a function of the real interest rate. the latter is a key feature of,"One involves the so-called ""quantifierized"" interest, and the other involves the so-called ""quantized derivative.",One involves the high - inflation upper bound on nominal interest rates ; the other involves labor markets.,True,2,1
163,"The recent lower readings on inflation have been driven significantly by what appear to be one-off reductions in certain categories of prices, such as wireless telephone services and prescription drugs.","The recent lower readings on inflation have been driven significantly by what appear to be rising oil prices, according to bank of america merrill lynch.

the bank estimates that in february, us inflation rose to","Empty by what appear to be one-off increases in some categories of prices, such as fixed-rate television sales.",,False,0,2
164,Nonfarm payroll employment continued to expand through July and the civilian unemployment rate was unchanged at 4.,"Nonfarm payroll employment continued to expand through july and the unemployment rate remained unchanged.

the labor department released its payroll employment report monday, which showed the labor force participation rate,",Nonfarm payroll employment continued to expand through july and the civilian unemployment rate rose unchanged at 4.,,False,1,2
165,"* * * As the transcripts of FOMC meetings attest, making monetary policy is an especially humbling activity.","* * * as the transcripts of fomc meetings attest, we are not alone in our determination that monetary policy remains accommodative of the economy. however, in light of the fact that","* * * as well as the transcripts of fomc meetings attest, making monetary policy is an especially humbling activity.","* * * as the transcripts of fomc meetings attest, making monetary policy is an especially humbling activity.",True,2,0
166,"In their consideration of monetary policy at this meeting, participants reaffirmed that the Federal Reserve was committed to using its full range of tools to support the U. S. economy in this challenging time, thereby promoting its maximum-employment and price-stability goals.","In their consideration of monetary policy at this meeting, participants reaffirmed that the federal reserve was committed to using its monetary policy powers for the benefit of the u.s. economy and for the benefit of the united states as a whole.","In their consideration of monetary policy at this meeting, participants reaffirmed that the federal reserve was committed to using its full range of tools to support the u. s. economy in this challenging times, thereby promoting its maximum-employment and price-stability goals.",,False,0,2
167,"However, as had been the case for many years, the members remained concerned that forecasts of money growth were still subject to a wide range of error in terms of the anticipated relationships between money growth and aggregate economic performance.","However, as had been the case for many years, the members remained concerned that forecasts of money growth were still not fully justified.

""what's needed now, and what we will need to get right, is not so much","However, as had been the case of many years, the members remained concerned that forecasts of money growth were still subject to a wide range of error in terms of the anticipated relationships between money growth and aggregate economic performance.","However, as had been the case for many years, the members were concerned that forecasts of money growth were still subject to a wide range of error in terms of the anticipated relationships between money growth and aggregate economic performance.",True,2,0
168,"However, household spending had been relatively robust during the cyclical downturn and likely had only limited room for a pickup over coming quarters, and intense competitive pressures could well constrain profits, investment, and equity prices.","However, household spending had been relatively robust during the cyclical downturn and likely had only limited room to expand, with the biggest growth potential coming from consumption, which accounted for only about a third of gdp.

a","However, household spending had been relatively robust during the cyclical downturn and likely had only limited room for a pickup over this period, and intense competitive pressures could well constrain profits, investment, and equity prices.","However, consumer spending had been relatively robust during the cyclical downturn and likely had only stood in for a pickup in coming quarters, and intense inflation pressures could well constrain profits, investment, and equity prices.",True,2,1
169,The Committee will continue to pay close attention to the evolution of inflation and inflation expectations.,"The committee will continue to pay close attention to the findings of the investigation into the matter and will make a recommendation to the secretary-general regarding the next steps.

background",The committee will continue to pay close attention to the evolution of empty.,The committee will continue to pay close attention to the needs of stability and inflation stability.,True,2,1
170,"And we’ve talked about the effects on asset prices,","And we’ve talked about the effects on asset prices, so i'm not going to go over that here.

but the point that i want to make is that, in","We talked about the effects on the price,","And he talked about the effects on asset prices,",True,2,0
171,"As technical change increases demand for skilled relative to unskilled labor, the unskilled workers must acquire new skills, find new jobs at lower relative wages, or become unemployed.","As technical change increases demand for skilled relative to unskilled labor, the unskilled workers will be forced into increasingly unskilled jobs that pay less, and will eventually be pushed out of the workforce entirely.

","As technical change increases demand for skilled relative to unskilled labor, the unskilled workers must acquire new skills, find new skills at lower relative wages, or become unemployed.",,False,0,2
172,The unemployment rate ticked down to 5.,"The unemployment rate ticked down to 5.7 percent in august, down from 5.9 percent a month earlier.

the unemployment rate is the number that separates",The unemployment rate was twice as high in urban areas as in rural areas.,,False,1,2
173,"And, as I went into detail in Jackson Hole and won’t repeat all of that there, there are other ways in which we see underutilization—high levels that have come down only very marginally of part-time employment for economic—or involuntary part-time employment, perhaps some remaining shortfall of labor force participation as a result of cyclical factors.","And, as i went into detail in jackson hole and won’t repeat all of that there, there are other ways in which we see underutilization—high levels that we don't know about yet, for example, or not being able to get the data we need to know about.
","And, as i went into detail in jackson hole and won’t repeat all of that there, there are other ways in which we see underutilization—high levels that have come down only very marginally of part-time employment for economic—or involuntary part-time employment, perhaps some remaining shortfall of labor force participation as from cyclical factors.","And, since i went into detail in jackson hole and wonat repeat all of that there, there are other ways in which we see underutilizationahigh levels that have come down somewhat very marginally of part - time employment for economicaor involuntary part - time employment, perhaps some remaining shortfall of labor force participation as a result of cyclical factors.",True,2,0
174,This secular decline in term premiums since 1990 appears to be correlated with the decline in long-run inflation uncertainty and in short-term interest rate uncertainty.,This secular decline in term premiums since 1990 appears to be correlated with the increasing use of alternative methods for calculating premiums. the increase in premiums since 1990 has been associated with changes in the use,"This secular fundamental principle of equality is central to the american convictions of republicans, democrats, liberals, and conservatives alike.",,False,0,2
175,"Therefore, monetary policy in Japan might be affected not only by views about how such policies would affect macroeconomic performance, for given fiscal policies,","Therefore, monetary policy in japan might be affected not only by views on monetary policy but also by expectations for future growth.

the bank of japan has not yet released a new policy statement","Therefore, monetary policy in japan might be affected not only by views about how such policies would affect macroeconomic performance, for given fiscal policies, however,","Therefore, monetary policy in japan might be affected not only by views about how such increases would affect macroeconomic performance, for given fiscal policies,",True,2,0
176,"These inferences are supported by some empirical evidence.10 On the other hand, the increased liquidity of home equity may lead consumer spending to respond more than in past years to changes in the values of their homes; some evidence does suggest that the correlation of consumption and house prices is higher in countries, like the United States, that have more sophisticated mortgage markets (Calza, Monacelli, and Stracca, 2007).","These inferences are supported by some empirical evidence.10 on the other hand, the increased liquidity of home equity may lead consumer spending to respond more than in past years to changes in the values of their houses (for example, in the case of a house in a good condition), thereby raising the demand for housing and","These inferences are supported by some weak evidence.10 on the other hand, the increased liquidity of home equity may lead consumer spending to respond more than in past years to changes in the values of their homes; some evidence does suggest that the correlation of consumption and house prices is higher in countries, like the united states, that have more sophisticated mortgage markets (calza, monacelli, and stracca, 2007).","These inferences are supported by some empirical evidence. 10 on the other hand, the increased inflation pressures of home equity may lead consumer spending to respond more than in past years to changes in the values of their homes ; some evidence does suggest that the correlation of home and house prices is higher in countries, like the united states, that have more sophisticated mortgage markets ( calza, monacelli, and stracca, 2007 ).",True,2,1
177,"Later I shall turn to concerns about imbalances in equity prices, the personal saving rate, the current account, and the household debt burden.","Later i shall turn to concerns about imbalances in equity prices, and to the question of whether they have any basis.

the second point that has drawn my attention is that, in","Later i shall turn to concerns about imbalances in equity prices, the individual saving rate, the current account, and the household debt burden.","Later developments shall turn to concerns about imbalances in equity prices, the personal saving rate, the current account, and the household debt burden.",True,2,0
178,Comparing the Theoretical Prediction to Recent Experience The swing from budget deficit to surplus has been much more dramatic than was expected when the fiscal year 1994 budget was adopted.,"Comparing the theoretical prediction to recent experience the swing from budget deficit to surplus has been gradual, but has been accompanied by a gradual rise to debt levels that are now approaching those of the 1960s. the",Comparing the theoretical prediction to recent experience the swing from budget deficit to surplus has been much more dramatic than was expected when fiscal consolidation was adopted.,Comparing the inflation prediction to recent experience the swing from budget deficit to surplus has been much more dramatic than was expected when the fiscal year 1994 budget was adopted.,True,2,1
179,"But it could be that if interest rates rise quickly, for example, that we would be in a situation of not giving remittances to the Treasury for a couple of years, and that would create problems, no doubt, for the Fed in terms of congressional response.","But it could be that if interest rates rise quickly, for example, that we would be in a situation of not giving remittances to families that have already been sent back from disaster.

the imf also noted that in some of these countries, there","But it could be that if interest rates rise, for example, we would be in a position of having to pay more to the treasury for a number of years, and that would keep interest rates low.","But it could be that if interest rates improved quickly, for example, that we would be in a situation of not getting remittances to the treasury for a couple of years, and that would create problems, no doubt, for the fed in terms of congressional response.",True,2,0
180,"Housing activity showed signs of dropping off from peak levels during the latter part of the summer, but the decline in mortgage rates this fall produced an upturn in several indicators of demand for single-family housing, including a rebound in a survey index of homebuying conditions.","Housing activity showed signs of dropping off from peak levels during the latter part of the summer, but the decline in mortgage rates and rising inventory led to a drop in activity, said the mortgage bankers association.

housing activity declined to its","Ousing activity showed signs of progress during the latter half of the last recession, but the decline in mortgage interest rates, which began in the early 1980s, led to a major deterioration in the housing market.","Mortgage activity showed signs of dropping off from peak levels during the latter part of the summer, but the decline in mortgage rates this fall produced an upturn in several measures of demand for single - family housing, including a rebound in a survey index of homebuying conditions.",True,2,0
181,The period of sub-par expansion was expected to foster an appreciable easing of pressures on resources and some moderation in core price inflation.,"The period of sub-par expansion was expected to foster an appreciable decline in the economy over the next two years, but instead saw an increase of 3.1%, according to a report issued",The period of the longest remaining time is short because advantageous processes are handled very quickly.,,False,0,2
182,"Monetary policy, maximum employment, stable prices—it’s less obvious to me.","Monetary policy, maximum employment, stable prices—it’s less obvious to me.

so i've come up with a simple solution, which i think will save a lot of people a lot of pain",Empty it is more obvious to me.,"Monetary policy, maximum employment, stable pricesaive less obvious to me.",True,2,1
